Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
7740,8447,1028,4269,7832
9642,4851,9390,8979,4634
7744,5856,1043,1991,8848
9770,4485,1066,896,5382
7797,5679,426,815,9048
6073,5465,2267,2584,206
2935,8698,1678,228,4166
2756,7340,2358,9544,171
9059,1251,6530,3394,959
6302,872,2774,583,815
1942,1918,1637,992,583
2786,1623,2873,1239,992
4112,9939,6532,1678,1239
940,1651,2016,313,1678
5891,4960,8362,454,313
9632,3757,8509,959,896
8726,5001,1505,8751,454
7926,3579,3210,2267,8751
3766,9410,3086,160,2267
9746,5616,3173,171,160
9677,3162,9842,426,7598
3525,4596,5693,1066,856
6057,2827,2119,856,426
5978,4929,8941,7598,1066
1926,8061,6138,3422,9110
8845,4284,965,1043,1043
3471,6305,4079,9110,3422
825,5270,121,4166,5384
9527,7300,7970,206,7846
2700,9707,5727,9390,7855
8476,4282,962,5384,9390
2869,2699,5661,7846,1991
2811,1716,802,7855,7841
5631,9584,6217,7837,5383
4520,976,9382,7844,7844
6408,2928,4936,7841,739
6529,1354,7826,5383,7837
3504,3781,2111,9048,8990
9754,2120,5357,8990,8979
3112,6047,8388,739,1028
8363,8658,3172,7836,7834
8046,1633,8395,7845,5386
5251,2210,8194,6519,7845
3521,2512,8208,6516,7839
7653,3037,1455,5386,4340
4237,4468,7491,5382,7838
3069,464,1051,7847,7840
9905,6518,9068,6517,7836
7935,7840,6165,7834,7842
4253,7842,2354,4340,7847
6286,2881,3394,7842,6516
5323,2768,8799,7839,5385
7280,9032,3107,7838,6518
4123,5383,1226,8848,6519
9851,7161,7706,6518,6517
3251,144,7213,4341,4341
2757,2387,5429,5385,7833
3485,8615,3700,7840,494
2890,7846,8207,1028,4269
1387,6124,2292,903,2512
4138,1731,6435,7832,903
1154,1219,8454,4634,3037
9463,8032,5709,494,7843
4307,6741,2816,3037,1175
9881,9362,2781,1175,6652
4272,6584,1266,7833,6638
8020,8364,9769,2512,6651
6154,8281,8830,7843,6637
854,5104,4139,6574,6653
9275,3910,4842,6652,6650
9033,8226,587,6651,6644
6550,8467,3808,6650,6639
8264,7598,7450,6649,6643
8491,5850,9856,6648,6647
73,1244,8755,6647,6646
3237,850,9558,6677,6640
1599,7343,8158,6646,6641
5590,5964,3414,6645,6642
9771,2191,9066,6678,6648
6155,4034,6641,6679,6645
7159,3648,2396,6680,6649
2397,8754,140,6644,0
6609,3692,2954,6681,6654
2620,8033,6776,6682,6655
4183,4161,9491,6643,6683
8432,8104,2546,6575,6682
4958,311,6075,6576,6681
1657,6746,8267,6642,6680
5612,4355,3510,6641,6679
9803,49,5606,6640,6678
7473,462,2365,6639,6677
8313,8998,2651,6638,6676
5941,3249,4642,6676,6675
3440,128,7193,6653,6674
6385,9737,7872,6666,6673
7248,5875,143,6670,6672
2937,3701,8611,6637,6671
2969,6232,8386,6665,6670
484,9537,7363,6664,6669
9023,1264,5130,6667,6668
5377,4980,801,6668,6667
9493,3938,5610,6663,6666
5645,2915,8518,6662,6665
8131,3622,2831,6661,6664
1102,2463,4383,6669,6663
4409,434,7013,6660,6662
4805,5518,2744,6659,6635
9917,609,5458,6654,6661
9011,56,3653,6658,6660
8681,6607,1411,6657,6659
5365,452,5102,6671,6658
8038,9956,5344,6573,6657
892,640,8070,6672,6656
7509,4877,9892,6673,6636
9870,180,6386,6656,6616
